category,certainty,description,geo,milestone_id,occurred_on,source_id,tier,title,track
suicide,documented,"WHO reports >700,000 suicide deaths in 2019 (1 in 100 deaths), a 36% decline in the global age-standardized rate 2000-2019, declines in five regions, and a 17% rise in the Region of the Americas.",INTL,hm007,2021-06-17,hs019,A,WHO releases 'Suicide worldwide in 2019: Global Health Estimates',F
health,documented,Rare public health advisory declaring a youth mental health crisis accelerated by the pandemic.,US,hm008,2021-12-07,hs064,A,US Surgeon General advisory: Protecting Youth Mental Health,F
overdose,documented,"The maximum of the series and the point every subsequent decline is measured down from. Age-adjusted rate 32.6 per 100,000 — 6.4 times the 1999 count.",US,hm030,2022-01,hs104,A,"Overdose deaths peak: 107,941",F
health,documented,WHO scientific brief estimates global prevalence of anxiety and depression rose 25% in the first pandemic year.,INTL,hm009,2022-03-02,hs054,A,WHO: pandemic triggered 25% increase in global anxiety and depression,F
suicide,documented,The National Suicide Prevention Lifeline transitions to the three-digit 988 number for 24/7 crisis care nationwide.,US,hm010,2022-07-16,hs020,A,US launches 988 Suicide & Crisis Lifeline,F
prescribing,documented,"Shortage of IR amphetamine mixed salts, citing Teva manufacturing delays and demand outstripping supply — start of multi-year ADHD-drug shortage.",US,hm011,2022-10-12,hs085,A,FDA announces nationwide Adderall shortage,F
prescribing,documented,"Fills rose 3.6% (2016) -> 4.1% (2021) of commercially insured, double-digit 2020-2021 jumps among adult women, linked to telehealth-era prescribing.",US,hm012,2023-03-30,hs078,A,CDC MMWR: stimulant prescription-fill trends,F
health,documented,"GBD-based analysis: early-onset (under-50) cancer cases rose 79% worldwide 1990-2019, to 3.26 million.",INTL,hm013,2023-09-05,hs045,A,BMJ Oncology publishes global early-onset cancer study,F
prescribing,corroborated,Dispensing to adolescents/young adults rose 63.5% faster after March 2020 than pre-pandemic trend (Chua et al.).,US,hm014,2024-02-26,hs081,B,Pediatrics: youth antidepressant dispensing surged post-March 2020,F
suicide,documented,"NCHS Data Brief 509 reports 49,476 suicide deaths in 2022 and an age-adjusted rate of 14.2 — the highest since 1941 — up 30% from 2002.",US,hm015,2024-09,hs004,A,NCHS confirms 2022 as record year for US suicide,F
prescribing,documented,First antipsychotic targeting cholinergic rather than dopamine receptors — 'the first new approach to schizophrenia treatment in decades' (FDA).,US,hm016,2024-09-26,hs086,A,FDA approves Cobenfy (xanomeline + trospium) for schizophrenia,F
prescribing,documented,Prescriptions +60% (50.4m -> 80.8m); women overtook men for the first time in 2022-23.,US,hm017,2024-11-13,hs079,A,DEA releases IQVIA report on US stimulant trends 2012-2023,F
overdose,corroborated,"Provisional data (12 months ending Sept 2024): ~87,000 overdose deaths, ~27,000 fewer than prior year.",US,hm018,2025-02-25,hs058,B,CDC announces ~24% decline in US overdose deaths,F
prescribing,documented,Record 92.6m antidepressant items; +24.3% one-year rise in adults prescribed ADHD medication; items and patients rose in 4 of 5 drug groups.,GB,hm019,2025-07-24,hs066,A,NHSBSA publishes 2024/25 Medicines Used in Mental Health statistics,F
health,documented,Adolescent past-year MDE fell to 15.4% from 18.1% in 2023; adult any-mental-illness roughly stable at 23.4%.,US,hm020,2025-07-28,hs049,A,SAMHSA releases 2024 NSDUH,F
suicide,documented,"NCHS Data Brief 541 reports 49,316 deaths and a rate of 14.1 in 2023 (-0.7% vs 2022, not statistically significant).",US,hm021,2025-09,hs005,A,NCHS: 2023 US suicide rate essentially unchanged,F
overdose,documented,"Data Brief 548: life expectancy +0.6 yr to 79.0, surpassing pre-pandemic. Data Brief 549: final 2024 overdose deaths 79,384.",US,hm022,2026-01,hs059,A,NCHS: US life expectancy hits 79.0; 2024 overdose deaths fell 26.2%,F
health,documented,"Projects 2,114,850 new US cases and 626,140 deaths in 2026; mortality down 34% since 1991; 5-year survival 70%.",US,hm023,2026-01-13,hs041,A,ACS publishes Cancer Statistics 2026,F
suicide,documented,"NCHS Data Brief 548 reports the 2024 age-adjusted suicide rate fell 2.8% to 13.7 (48,824 deaths); suicide replaced COVID-19 as the 10th leading cause of death.",US,hm024,2026-01-29,hs006,A,Final 2024 US mortality data: suicide rate declines,F
overdose,corroborated,"Provisional 2025: 69,973 US overdose deaths, ~14% below 2024, declines across opioids, cocaine, psychostimulants.",US,hm025,2026-05-13,hs057,B,NCHS: overdose deaths fall for third consecutive year,F
