source_id,statement,tier,topic,workstream
hs059,"US life expectancy flat 2014-2019 (78.9→78.8), fell to 77.0 (2020) and 76.4 (2021), recovered to 77.5 (2022), 78.4 (2023), 79.0 (2024) — above pre-pandemic. Still trails peer average (82.7 in 2024; 3.7-yr gap), a divergence that widened through the 2010s and pandemic and narrowed slightly 2023-2024.",A,life_expectancy,W2
hs072,"Consensus: point prevalence low and stable — GBD 2016 global age-standardised 0.28% (UI 0.24-0.31), age-specific prevalence 'largely consistent over time and across countries'; case growth (13.1m 1990 -> 20.9m 2016) driven by population growth/ageing.",A,schizophrenia_prevalence,W3
hs073,"GBD 2021: prevalent cases +70.1% (13.62m -> 23.18m 1990-2021) but age-standardised prevalence 'relatively stable', incidence slightly declining (EAPC -0.04) — no epidemic of new disease.",A,schizophrenia_prevalence,W3
hs074,NIMH: US prevalence of schizophrenia and related psychotic disorders 0.25%-0.64%; international 0.33%-0.75% — consistent with the ~0.3-0.7% consensus band.,A,schizophrenia_prevalence,W3
hs075,"Denmark national registry 2000-2018: diagnosed schizophrenia incidence did NOT rise (1.8 -> 1.6 per 10,000); schizotypal diagnoses nearly doubled — shifts in diagnostic practice within the spectrum, not rising schizophrenia.",A,schizophrenia_diagnoses,W3
hs071,Antipsychotic items in England rose 146% (4.71m 1998 -> 11.62m 2022; +111% per capita) 'despite stable estimated prevalence of psychotic disorders' — prescribing volume and diagnosis prevalence have decoupled.,A,antipsychotic_prescribing_vs_diagnosis,W3
hs067,"NHSBSA: antipsychotic items 11.0m (2015/16) -> 13.2m (2021/22, +19.7%) -> 13.9m items / 873,000 patients (2024/25); recent year-on-year growth under 1% (Q3 2024/25).",A,antipsychotic_prescribing_england,W3
hs076,"Hong Kong 11-year population study of 62,607 schizophrenia-spectrum patients (2011-2021, joinpoint regression; J Psychiatr Res 2025, PMID 39961232, DOI 10.1016/j.jpsychires.2025.02.017) documents territory-wide utilization trends. NOTE: abstract figures could not be retrieved this session (all mirrors blocked) — pull exact figures from the paper before quoting numbers.",B,antipsychotic_treated_prevalence_hk,W3
hs066,"Antidepressant items rose every year on record: 61.9m (2015/16) -> 83.4m (2021/22) -> 92.6m (2024/25), 8.89m patients — ~50% volume increase in nine years.",A,antidepressant_prescribing_england,W3
hs080,"US antidepressant dispensing to adolescents/young adults (IQVIA ~92% of pharmacies, 2016-2022) rose 63.5% faster after March 2020 than pre-pandemic trend — +130% among female adolescents — while male adolescent dispensing declined (Chua et al., Pediatrics 2024).",B,antidepressant_prescribing_us_youth,W3
hs079,"US stimulant prescriptions +60% 2012-2023 (50.4m -> 80.8m), accelerating after 2020; women +92% vs men +36%; ages 31-40 +240% (DEA/IQVIA, Nov 2024).",A,adhd_stimulant_prescribing_us,W3
hs078,"Commercially insured 5-64 with >=1 stimulant fill: 3.6% (2016) -> 4.1% (2021), with 2020->2021 jumps ~14-19% among adult women and men 25-44 (CDC MMWR 2023).",A,adhd_stimulant_prescribing_us,W3
hs066,"CNS stimulant/ADHD items in England more than doubled 1.31m (2015/16) -> 3.38m (2024/25); adults prescribed rose 24.3% in one year to 190,000.",A,adhd_prescribing_england,W3
hs067,"Benzodiazepines run counter: England hypnotic/anxiolytic items FELL 12% (15.9m 2015/16 -> 14.0m 2021/22; 13.4m 2024/25); US adults 65+ fell 14.1 -> 11.5 per 100 (2015-2024), declining pre-pandemic then plateauing.",A,benzodiazepine_prescribing,W3
hs077,"US adult antipsychotic use rose 1.9% (2006) -> 3.0% (2023) of adults — several times the ~0.3-0.6% schizophrenia prevalence, confirming most volume is prescribed for other conditions; youth use slightly declined (1.3% -> 1.1%).",A,antipsychotic_use_us,W3
hs103,"US overdose deaths rose from 16,849 in 1999 (rate 6.1) to 107,941 in 2022 (rate 32.6) — a 541% increase in the count over twenty-three years, with the steepest acceleration after 2013 and the largest single-year rise in 2020 (+30.0%). The post-2022 decline runs down from that peak, not from the pre-2000 baseline: provisional 2025 (69,973) is still about four times the 1999 count.",A,drug_overdose,
