geography,indicator_id,note,provisional,publisher,rate_per_100k,source_id,tier,unit,value,workstream,year
US,breast_cancer_incidence_apc,Women <50: +1.4%/yr vs +0.7%/yr for 50+.,False,Docwire News (citing ACS Cancer Statistics 2026),,hs046,B,"% annual increase, 2013-2022",1.0,W2,2022
US,cancer_5yr_relative_survival,Up from ~50% mid-1970s and 63% mid-1990s.,False,American Cancer Society,,hs041,A,"% 5-year relative survival, all cancers (diagnosed 2015-2021)",70,W2,2021
US,cancer_death_rate_all_sites,Death rates falling ~1.5%/yr over 2014-2023.,False,NCI SEER,,hs043,A,"deaths per 100,000/yr (age-adjusted, 2019-2023)",145.4,W2,2023
US,cancer_deaths_projected,Cancer Statistics 2026.,False,American Cancer Society,,hs041,A,projected cancer deaths,626140,W2,2026
US,cancer_incidence_rate_all_sites,SEER: age-adjusted incidence 'stable over 2013-2022'.,False,NCI SEER,,hs043,A,"new cases per 100,000/yr (age-adjusted, 2018-2022)",445.8,W2,2022
US,cancer_incidence_women_under50_vs_men,Cancer Statistics 2025; up from 51% higher in 2002.,False,American Cancer Society,,hs042,A,% higher incidence in women <50 vs men <50,82,W2,2021
US,cancer_mortality_decline_since_1991,~4.8 million cancer deaths averted 1991-2023.,False,American Cancer Society,,hs041,A,% decline in cancer death rate since 1991 peak,34,W2,2023
US,cancer_new_cases_projected,"Cancer Statistics 2026 (Siegel et al., CA: A Cancer Journal for Clinicians); ~5,800 diagnoses/day. Press release 2026-01-13.",False,American Cancer Society,,hs041,A,projected new cancer cases,2114850,W2,2026
US,colorectal_cancer_incidence_under50_apc,"CRC Statistics 2026: +3%/yr ages 20-49, +0.4%/yr 50-64, while 65+ falls 2.5%/yr (attributed to screening).",False,American Cancer Society,,hs044,A,"% annual increase, ages 20-49",3.0,W2,2022
US,depression_current_diagnosed,,False,Gallup,,hs050,B,% adults currently have/being treated for depression,13.5,W2,2017
US,depression_current_diagnosed,Ages 18-29: 24.6% (up from 13.0% in 2017).,False,Gallup,,hs050,B,% adults currently have/being treated for depression,17.8,W2,2023
Global,depression_global_prevalence,~332 million; women 6.9% vs men 4.6%. Fact sheet updated 2025-08-29.,False,WHO,,hs052,A,% of adults with depression,5.7,W2,2025
US,depression_lifetime_diagnosed,Gallup Panel self-reported diagnosis.,False,Gallup,,hs050,B,% adults ever diagnosed with depression,20.6,W2,2017
US,depression_lifetime_diagnosed,"Feb 2023 (n=5,167); ~10 pts higher than 2015. Ages 18-29: 34.3%; women: 36.7%.",False,Gallup,,hs050,B,% adults ever diagnosed with depression,29.0,W2,2023
US,depression_mde_adolescents,5.0 million adolescents; girls 29.2% vs boys 11.5%.,False,NIMH (2021 NSDUH),,hs047,A,% adolescents 12-17 with past-year MDE,20.1,W2,2021
US,depression_mde_adolescents,~4.5 million adolescents.,False,NACo (citing SAMHSA 2024 NSDUH),,hs048,B,% adolescents 12-17 with past-year MDE,18.1,W2,2023
US,depression_mde_adolescents,~3.8 million; a DECREASE from 18.1% in 2023 — counterpoint. 2024 NSDUH released 2025-07-28.,False,NACo (citing SAMHSA 2024 NSDUH),,hs048,B,% adolescents 12-17 with past-year MDE,15.4,W2,2024
US,depression_mde_adults,"21.0 million adults; women 10.3%, men 6.2%.",False,NIMH (2021 NSDUH),,hs047,A,% adults 18+ with past-year major depressive episode,8.3,W2,2021
US,depression_mde_young_adults,Highest of any adult age group.,False,NIMH (2021 NSDUH),,hs047,A,% adults 18-25 with past-year MDE,18.6,W2,2021
US,depression_symptoms_adults,NHSR No. 213 (Nov 2024).,False,CDC/NCHS (NHIS),,hs051,A,"% adults with depression symptoms (PHQ-8, mild+, past 2 weeks)",18.5,W2,2019
US,depression_symptoms_adults,Significant increase vs 2019; ages 18-29 rose 21.0%→26.9%.,False,CDC/NCHS (NHIS),,hs051,A,"% adults with depression symptoms (PHQ-8, mild+, past 2 weeks)",21.4,W2,2022
Global,early_onset_cancer_global_cases,79% increase in early-onset cases 1990-2019 (GBD 2019). Counts not age-standardized; population growth contributes.,False,BMJ Oncology (BMJ Group press release),,hs045,A,new cancer cases in people <50,3260000,W2,2019
Global,early_onset_cancer_global_deaths,"+28% vs 1990. Authors project +31% cases, +21% deaths by 2030.",False,BMJ Oncology (BMJ Group press release),,hs045,A,cancer deaths in people <50,1060000,W2,2019
England,hypnotic_anxiolytic_items_england,BNF 4.1.,False,NHSBSA,,hs067,A,"prescription items (millions), FY 2015/16",15.9,W3,2016
England,hypnotic_anxiolytic_items_england,-12.0% vs 2015/16 — the one major class FALLING in England.,False,NHSBSA,,hs067,A,"prescription items (millions), FY 2021/22",14.0,W3,2022
England,hypnotic_anxiolytic_items_england,1.85m patients.,False,The Pharmacist (reporting NHSBSA),,hs070,B,"prescription items (millions), FY 2024/25",13.4,W3,2025
US,life_expectancy_at_birth,Data Brief 267.,False,CDC/NCHS,,hs062,A,years,78.9,W2,2014
US,life_expectancy_at_birth,Decline of 1.8 yrs from 78.8 in 2019 (Data Brief 456).,False,CDC/NCHS,,hs061,A,years,77.0,W2,2020
US,life_expectancy_at_birth,"Pandemic-era low; males 73.5, females 79.3.",False,CDC/NCHS,,hs061,A,years,76.4,W2,2021
US,life_expectancy_at_birth,Data Brief 521 (Dec 2024).,False,CDC/NCHS,,hs060,A,years,77.5,W2,2022
US,life_expectancy_at_birth,"+0.9 yr vs 2022; males 75.8, females 81.1.",False,CDC/NCHS,,hs060,A,years,78.4,W2,2023
US,life_expectancy_at_birth,Data Brief 548 (Jan 2026): +0.6 vs 2023; above pre-pandemic 78.8 (2019). Suicide replaced COVID-19 as 10th leading cause.,False,CDC/NCHS,,hs059,A,years,79.0,W2,2024
US vs peer countries,life_expectancy_gap_vs_peers,US 79.0 vs peer average 82.7 in 2024; gap 4.1 yrs in 2023. 2010-2019: US +0.1 yr vs peers +1.2 yrs. Updated 2026-03-31.,False,Peterson-KFF Health System Tracker,,hs063,B,years below comparable-country average,3.7,W2,2024
US,opioid_overdose_deaths_provisional,"vs 55,296 provisional 2024; cocaine and psychostimulant deaths also decreased. Largest state declines (25%+): RI, NY, NC, AL, VT; increases (10%+): NM, AZ, CO.",True,CDC/NCHS,,hs057,B,opioid-involved overdose deaths (provisional),44564,W2,2025
Denmark,schizophrenia_diagnosed_incidence_denmark,Verified via colab.ws mirror.,False,Acta Psychiatrica Scandinavica (Köhler-Forsberg et al. 2023),,hs075,A,"new diagnoses per 10,000 (national registry)",1.8,W3,2000
Denmark,schizophrenia_diagnosed_incidence_denmark,"Stable/slightly declining; schizotypal rose 0.7 -> 1.3 per 10,000 — diagnostic-mix shift, not a surge.",False,Acta Psychiatrica Scandinavica (2023),,hs075,A,"new diagnoses per 10,000 (national registry)",1.6,W3,2018
Global,schizophrenia_point_prevalence_global,20.9m cases 2016 vs 13.1m 1990; growth = population growth/ageing.,False,"Schizophrenia Bulletin (Charlson et al. 2018, GBD 2016)",,hs072,A,% age-standardised point prevalence (UI 0.24-0.31),0.28,W3,2016
Global,schizophrenia_prevalent_cases_global,,False,Frontiers in Psychiatry (GBD 2021 analysis),,hs073,A,"prevalent cases (millions), GBD 2021",13.62,W3,1990
Global,schizophrenia_prevalent_cases_global,+70.1% counts; age-standardised rates 'relatively stable'; ASR incidence EAPC -0.04.,False,Frontiers in Psychiatry (GBD 2021 analysis),,hs073,A,"prevalent cases (millions), GBD 2021",23.18,W3,2021
US,ssri_use_pct_us_adults,"ASPE Data Point, Apr 2025.",False,HHS ASPE (IQVIA Total Patient Tracker),,hs077,A,% adults using SSRIs (annual),8.0,W3,2006
US,ssri_use_pct_us_adults,SSRIs only — total antidepressant use higher.,False,HHS ASPE,,hs077,A,% adults using SSRIs (annual),11.1,W3,2023
US,ssri_use_pct_us_youth,,False,HHS ASPE,,hs077,A,% children/adolescents (3-17) using SSRIs,1.5,W3,2006
US,ssri_use_pct_us_youth,'Large increase after 2017'; peaked 3.8% in 2022.,False,HHS ASPE,,hs077,A,% children/adolescents (3-17) using SSRIs,3.6,W3,2023
US,stimulant_fill_pct_commercial_us,MarketScan.,False,CDC MMWR (Danielson et al.),,hs078,A,% commercially insured 5-64 with >=1 stimulant fill,3.6,W3,2016
US,stimulant_fill_pct_commercial_us,2020->2021 jumps ~14-19% among F 15-44 and M 25-44.,False,CDC MMWR,,hs078,A,% commercially insured 5-64 with >=1 stimulant fill,4.1,W3,2021
US,stimulant_prescriptions_us,IQVIA LRx (~94% of US retail claims).,False,IQVIA Government Solutions for DEA,,hs079,A,prescriptions (millions),50.4,W3,2012
US,stimulant_prescriptions_us,Report dated 2024-11-13.,False,IQVIA/DEA,,hs079,A,prescriptions (millions),67.7,W3,2020
US,stimulant_prescriptions_us,+60% vs 2012; women +92% vs men +36%; ages 31-40 +240%.,False,IQVIA/DEA,,hs079,A,prescriptions (millions),80.8,W3,2023
US,stimulant_use_pct_us_adults,,False,HHS ASPE,,hs077,A,% adults using stimulants (annual),1.1,W3,2006
US,stimulant_use_pct_us_adults,Nearly tripled 2006-2023.,False,HHS ASPE,,hs077,A,% adults using stimulants (annual),3.1,W3,2023
India,suicide_count_gbd_vs_ncrb,"GBD 75% above NCRB (230,000 vs 131,008) for 2016; 802,684 additional GBD-est. deaths vs NCRB 2005-2015.",False,GBD via CMHLP,,hs033,B,estimated suicide deaths (GBD),230000,W1B,2016
India,suicide_count_ncrb,"Rate 12.4/100k; +3.3% vs 2021 (164,033; 12.0); highest recorded rate in 56 yrs of ADSI. NCRB PDF robots-blocked; verified via secondary.",False,NCRB ADSI 2022 via CMHLP summary,,hs032,B,police-recorded suicide deaths (NCRB ADSI),170924,W1B,2022
Japan,suicide_deaths,"Counts rose in 2020 and held ~21,000-level through 2023",False,Japan MHLW (2024 White Paper on Suicide),,hs012,A,deaths,21837,W1,2023
US,suicide_deaths,Record-high count,False,CDC/NCHS,,hs004,A,deaths,49476,W1,2022
US,suicide_deaths,,False,CDC/NCHS,,hs005,A,deaths,49316,W1,2023
US,suicide_deaths,Final 2024 (NVSS via CDC WONDER); crude rate 14.4/100k; corroborated by db548,False,CDC/NCHS,,hs001,A,deaths,48824,W1,2024
Global,suicide_deaths_total,"'In 2019, more than 700 000 people died by suicide: one in every 100 deaths.'",False,WHO,,hs019,A,deaths (WHO: 'more than 700 000'),700000,W1B,2019
Global,suicide_deaths_total,GHE 2021 basis. 73% of global suicides in LMICs in 2021.,False,WHO (suicide fact sheet),,hs022,A,deaths,727000,W1B,2021
China,suicide_deaths_total_survey,,False,"Phillips, Li & Zhang, The Lancet (2002)",,hs026,A,"deaths/yr (1995-99 average, adjusted)",287000,W1B,1997
Global,suicide_deaths_underreporting_corrected,"Meta-analysis 71 countries/122 yrs: global underreporting 17.9% (CI 10.9-28.1%); WHO ~727,000 corrected to 1,000,638 (CI 859,511-1,293,006). Modeled — tier B.",False,"Meda et al., Frontiers in Psychiatry (2025)",,hs039,B,estimated true annual suicide deaths after correcting for underreporting,1000638,W1B,2021
Australia,suicide_rate_asr,"ABS 2015-2024 series fetched: 12.9, 12.0, 13.2, 12.7, 13.2, 12.2, 12.3, 12.6, 12.2, 11.9",False,ABS,,hs010,A,per 100k age-standardised (ABS),12.9,W1,2015
Australia,suicide_rate_asr,"Preliminary, subject to revision; 3,307 deaths; roughly flat long run, easing recently",True,ABS,,hs010,B,per 100k age-standardised (ABS),11.9,W1,2024
Canada,suicide_rate_asr,"~4,750 deaths/yr 2020-2023, 'relatively stable'; 2024 preliminary count 4,394 (incomplete)",True,PHAC (Health Infobase),,hs011,A,per 100k age-standardized (Canadian standard),11.8,W1,2023
UK (England & Wales),suicide_rate_asr,"6,190 deaths registered 2024; registration-based rate highest since 1999, but occurrence-based rates broadly stable since 2018 (coroner delays)",False,UK ONS,,hs009,A,"per 100k age-standardised, registrations",11.4,W1,2024
US,suicide_rate_asr,NCHS Data Brief 362 (Apr 2020); baseline of the 1999-2018 trend,False,CDC/NCHS,,hs007,A,per 100k age-adjusted,10.5,W1,1999
US,suicide_rate_asr,"NCHS Data Brief 464 data table, Figure 1",False,CDC/NCHS,,hs002,A,per 100k age-adjusted,10.7,W1,2001
US,suicide_rate_asr,,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,10.9,W1,2002
US,suicide_rate_asr,,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,10.8,W1,2003
US,suicide_rate_asr,,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,11.0,W1,2004
US,suicide_rate_asr,,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,10.9,W1,2005
US,suicide_rate_asr,Pace of increase doubled to ~2%/yr from 2006 per NCHS db362,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,11.0,W1,2006
US,suicide_rate_asr,,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,11.3,W1,2007
US,suicide_rate_asr,,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,11.6,W1,2008
US,suicide_rate_asr,,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,11.8,W1,2009
US,suicide_rate_asr,,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,12.1,W1,2010
US,suicide_rate_asr,,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,12.3,W1,2011
US,suicide_rate_asr,,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,12.6,W1,2012
US,suicide_rate_asr,,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,12.6,W1,2013
US,suicide_rate_asr,,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,13.0,W1,2014
US,suicide_rate_asr,,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,13.3,W1,2015
US,suicide_rate_asr,"CDC Vital Signs (June 2018) reported ~45,000 US suicide deaths in 2016",False,CDC/NCHS,,hs002,A,per 100k age-adjusted,13.5,W1,2016
US,suicide_rate_asr,,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,14.0,W1,2017
US,suicide_rate_asr,Pre-2022 peak of the modern series,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,14.2,W1,2018
US,suicide_rate_asr,,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,13.9,W1,2019
US,suicide_rate_asr,Two-year decline through 2020,False,CDC/NCHS,,hs002,A,per 100k age-adjusted,13.5,W1,2020
US,suicide_rate_asr,"+4% vs 2020, largest 1-yr increase of 2001-2021 period (db464)",False,CDC/NCHS,,hs002,A,per 100k age-adjusted,14.1,W1,2021
US,suicide_rate_asr,Highest age-adjusted rate since 1941 (ties 2018); NCHS Data Brief 509,False,CDC/NCHS,,hs004,A,per 100k age-adjusted,14.2,W1,2022
US,suicide_rate_asr,"-0.7% vs 2022, not statistically significant; NCHS Data Brief 541 (Sept 2025)",False,CDC/NCHS,,hs005,A,per 100k age-adjusted,14.1,W1,2023
US,suicide_rate_asr,"FINAL 2024 data (db548, pub. 2026-01-29): rate down 2.8% vs 2023; suicide re-entered top-10 causes (10th)",False,CDC/NCHS,,hs006,A,per 100k age-adjusted,13.7,W1,2024
Global,suicide_rate_asr_by_sex,More than twice as many males as females.,False,WHO,,hs019,A,"male deaths per 100,000 (age-standardized); female 5.4",12.6,W1B,2019
WHO regions,suicide_rate_asr_regional,All above global 9.0 in 2019.,False,WHO,,hs019,A,"per 100,000 (Africa); Europe 10.5; South-East Asia 10.2",11.2,W1B,2019
Australia,suicide_rate_asr_who,12.83,False,WHO GHO via World Bank API,,hs016,B,per 100k age-standardized (WHO),12.8,W1,2000
Australia,suicide_rate_asr_who,12.13,False,WHO GHO via World Bank API,,hs016,B,per 100k age-standardized (WHO),12.1,W1,2010
Canada,suicide_rate_asr_who,12.45,False,WHO GHO via World Bank API,,hs016,B,per 100k age-standardized (WHO),12.5,W1,2000
Canada,suicide_rate_asr_who,12.89,False,WHO GHO via World Bank API,,hs016,B,per 100k age-standardized (WHO),12.9,W1,2010
Canada,suicide_rate_asr_who,9.44; flat-to-declining long run,False,WHO GHO via World Bank API,,hs016,B,per 100k age-standardized (WHO),9.4,W1,2021
France,suicide_rate_asr_who,20.32,False,WHO GHO via World Bank API,,hs017,B,per 100k age-standardized (WHO),20.3,W1,2000
France,suicide_rate_asr_who,18.23,False,WHO GHO via World Bank API,,hs017,B,per 100k age-standardized (WHO),18.2,W1,2010
France,suicide_rate_asr_who,"16.58; long-run decline; Sante publique France: ~9,000 deaths/yr, among highest rates in Europe",False,WHO GHO via World Bank API,,hs017,B,per 100k age-standardized (WHO),16.6,W1,2021
Germany,suicide_rate_asr_who,14.42,False,WHO GHO via World Bank API,,hs017,B,per 100k age-standardized (WHO),14.4,W1,2000
Germany,suicide_rate_asr_who,13.23,False,WHO GHO via World Bank API,,hs017,B,per 100k age-standardized (WHO),13.2,W1,2010
Japan,suicide_rate_asr_who,24.12,False,WHO GHO via World Bank API,,hs017,B,per 100k age-standardized (WHO),24.1,W1,2000
Japan,suicide_rate_asr_who,24.31,False,WHO GHO via World Bank API,,hs017,B,per 100k age-standardized (WHO),24.3,W1,2010
Japan,suicide_rate_asr_who,17.43; large long-run decline (11 straight annual declines pre-2020 per MHLW White Paper),False,WHO GHO via World Bank API,,hs017,B,per 100k age-standardized (WHO),17.4,W1,2021
South Korea,suicide_rate_asr_who,15.06,False,WHO GHO via World Bank API,,hs017,B,per 100k age-standardized (WHO),15.1,W1,2000
South Korea,suicide_rate_asr_who,"34.92; sharp rise 2000-2010, then decline",False,WHO GHO via World Bank API,,hs017,B,per 100k age-standardized (WHO),34.9,W1,2010
South Korea,suicide_rate_asr_who,27.53; highest in OECD,False,WHO GHO via World Bank API,,hs017,B,per 100k age-standardized (WHO),27.5,W1,2021
UK,suicide_rate_asr_who,,False,WHO GHO via World Bank API,,hs016,B,per 100k age-standardized (WHO),8.5,W1,2000
UK,suicide_rate_asr_who,,False,WHO GHO via World Bank API,,hs016,B,per 100k age-standardized (WHO),7.8,W1,2010
UK,suicide_rate_asr_who,9.55; roughly flat long run with modest rise since 2010s low,False,WHO GHO via World Bank API,,hs016,B,per 100k age-standardized (WHO),9.6,W1,2021
US,suicide_rate_asr_who,WHO modeled estimate 11.17; use for cross-country comparison only,False,WHO GHO via World Bank API,,hs016,B,per 100k age-standardized (WHO),11.2,W1,2000
US,suicide_rate_asr_who,,False,WHO GHO via World Bank API,,hs016,B,per 100k age-standardized (WHO),13.2,W1,2010
US,suicide_rate_asr_who,"15.63; rising 2000->2021, unique among the 8 peers compared",False,WHO GHO via World Bank API,,hs016,B,per 100k age-standardized (WHO),15.6,W1,2021
Germany,suicide_rate_crude,"~10,300 deaths in 2023; long-run decline: 23.6 in 1980 -> 12.2 in 2023; modest uptick from 2019 low (~9,000)",False,Destatis,,hs014,A,per 100k residents (crude),12.2,W1,2023
Japan,suicide_rate_crude,"19,097 deaths in 2025 — first year below 20,000 since records began in 1978; third successive annual decrease",False,MHLW/National Police Agency via Nippon.com,,hs013,B,per 100k (NPA/MHLW statistics),15.4,W1,2025
South Korea,suicide_rate_crude,"14,439 deaths in 2024, highest count since 2011; official KOSTAT figures due Sept 2025",False,Korea Foundation for Suicide Prevention (preliminary) via Korea Herald,,hs018,B,per 100k (crude),28.3,W1,2024
Russia,suicide_rate_male_15plus,Rate ~2-3x most European nations.,False,"Pridemore et al., AJPH 103(11), 2013",,hs030,A,"male deaths per 100,000 aged 15+ (approx., 2000-2010)",50,W1B,2005
India,suicide_rate_ncrb,NCRB rate rose 9.9 (2017) -> 12.4 (2022).,False,"Abhijita et al., Indian J Psychological Medicine (2024), analyzing NCRB ADSI 2022",,hs031,A,"police-recorded deaths per 100,000 (per lakh)",12.4,W1B,2022
China,suicide_rate_survey_adjusted,"~287,000 deaths/yr; rural 3x urban; female rate 25% above male, driven by young rural women; leading cause of death ages 15-34.",False,"Phillips, Li & Zhang, The Lancet 359(9309), 2002-03-09",,hs026,A,"per 100,000 (mean annual 1995-99, adjusted for unreported deaths)",23,W1B,1997
India,suicide_rate_verbal_autopsy,~2x NCRB-reported national rate for 2010 (~11.4).,False,"Shanghai Archives of Psychiatry (2014) citing Patel et al., Lancet 2012",,hs034,A,"per 100,000 aged 15+ (Million Death Study verbal autopsy)",22,W1B,2010
China,suicide_rate_who_ghe,,False,WHO GHE via World Bank API,,hs021,A,"per 100,000 (WHO GHE)",15.49,W1B,2000
China,suicide_rate_who_ghe,,False,WHO GHE via World Bank API,,hs021,A,"per 100,000 (WHO GHE)",10.58,W1B,2010
China,suicide_rate_who_ghe,2021: 8.95.,False,WHO GHE via World Bank API,,hs021,A,"per 100,000 (WHO GHE)",8.75,W1B,2019
Global,suicide_rate_who_ghe,Fetched 12.5073.,False,WHO GHE via World Bank API,,hs021,A,"per 100,000 (WHO GHE, SH.STA.SUIC.P5)",12.51,W1B,2000
Global,suicide_rate_who_ghe,,False,WHO GHE via World Bank API,,hs021,A,"per 100,000 (WHO GHE)",10.67,W1B,2010
Global,suicide_rate_who_ghe,WHO 2019 report quotes 9.0 age-standardized for 2019; difference = GHE revision/standardization — see caveats.,False,WHO GHE via World Bank API,,hs021,A,"per 100,000 (WHO GHE)",9.42,W1B,2019
Global,suicide_rate_who_ghe,2020: 9.0555.,False,WHO GHE via World Bank API,,hs021,A,"per 100,000 (WHO GHE)",9.13,W1B,2021
India,suicide_rate_who_ghe,2010: 15.90.,False,WHO GHE via World Bank API,,hs021,A,"per 100,000 (WHO GHE)",15.93,W1B,2000
India,suicide_rate_who_ghe,2021: 12.56.,False,WHO GHE via World Bank API,,hs021,A,"per 100,000 (WHO GHE)",13.98,W1B,2019
Russia,suicide_rate_who_ghe,Among world's highest at the time.,False,WHO GHE via World Bank API,,hs021,A,"per 100,000 (WHO GHE)",53.06,W1B,2000
Russia,suicide_rate_who_ghe,,False,WHO GHE via World Bank API,,hs021,A,"per 100,000 (WHO GHE)",35.78,W1B,2010
Russia,suicide_rate_who_ghe,2021: 21.37. WHO-estimated rate fell by more than half 2000-2021.,False,WHO GHE via World Bank API,,hs021,A,"per 100,000 (WHO GHE)",24.47,W1B,2019
US,synthetic_opioid_overdose_deaths,Rate 22.2/100k.,False,CDC/NCHS,,hs055,A,deaths involving synthetic opioids other than methadone,72776,W2,2023
US,synthetic_opioid_overdose_deaths,"Rate 14.3/100k, down 35.6% vs 2023 — fentanyl-class deaths fell faster than overall overdoses.",False,CDC/NCHS,,hs055,A,deaths involving synthetic opioids other than methadone,47735,W2,2024
US,drug_overdose_deaths,"Series start. The lowest annual count in the modern record. Age-adjusted rate 6.1 per 100,000.",False,CDC/NCHS,6.1,hs103,A,drug overdose deaths (final),16849,W2,1999
US,drug_overdose_deaths,"Age-adjusted rate 6.2 per 100,000.",False,CDC/NCHS,6.2,hs103,A,drug overdose deaths (final),17415,W2,2000
US,drug_overdose_deaths,"Age-adjusted rate 6.8 per 100,000.",False,CDC/NCHS,6.8,hs103,A,drug overdose deaths (final),19394,W2,2001
