dq_id,effect,geography,issue,source_id,tier,topic
cq11,"A reader can see 'sweeping arrests' in agency announcements while the national criminal-arrest chart declines, with no contradiction: the two numbers count different legal events in different systems, on different clocks.",US,"FBI arrest estimates count criminal arrests reported by police agencies. ICE's 'administrative arrest' is an arrest for a CIVIL violation of immigration law — OHSS's own definition — adjudicated by an immigration judge, not a criminal court, and it never enters the FBI series. The FBI series also ends at 2024, before the 2025-26 surge.",ar_jr_ice,B,Criminal arrests and immigration arrests are different counting systems
cq12,The 2000-2024 fall is real in both halves — 53% under the SRS and 26% under the estimates — but a single percentage across the break would be quoting two different measurements as one. The chart draws the break rather than joining it.,US,"The FBI's Summary Reporting System produced a national burglary rate through 2019 and was then retired. Figures from 2020 onward are NIBRS-based national ESTIMATES, built from agencies covering 75.5% of the country and 87.2% of the population in 2024. They are not a continuation of the SRS run.",bg_fbi_cde24,A,The US burglary series changes basis in 2020
cq13,"Any police-recorded burglary decline is measuring two things at once: fewer break-ins, and fewer break-ins being reported. The survey and police series both fall, which is why the direction survives — but the SIZE of the police-recorded fall is overstated by an unknown margin.",US,"The share of burglary victimisations that victims say they reported to police fell from 58.8% in 2010 to 40.7% in 2024 — 18.1 percentage points. The NCVS asks households directly, so it sees incidents police never record.",bg_bjs_cv24,A,Fewer burglaries are reported to police than a decade ago
cq14,"There is no longer a global burglary series to compare against. This is the second live citation on this site to disappear from its publisher's own portal, and it is the argument for archiving every source at the moment it is read.",International,"UNODC's data portal no longer offers burglary under any property-crime theme: the dashboard URLs redirect to a portal with no such theme, and the legacy CTS_Burglary spreadsheet returns 404. Checked 2026-08-21. The only surviving route to the same collection is Eurostat's crim_off_cat table, which publishes the joint Eurostat–UNODC data — and covers Europe only.",bg_unodc_gone,A,UNODC has withdrawn burglary as a retrievable indicator
cq15,Countries filed under one code are not necessarily counting one thing. France is excluded from the international chart on the publisher's own statement. Sweden's 3.4-to-1 rate against Germany should be read as evidence about the code rather than about either country.,International,"Eurostat's metadata for the residential-burglary code records that Germany's national correspondence table to ICCS section 05 is INCOMPLETE, and that for France 'there is no correspondence between French and this ICCS classification' at all. Sweden's national category includes cellar and attic storage; Germany's does not.",bg_eurostat_iccs,A,A shared ICCS code is not a shared definition
cq16,"This is the second national series in this section to stop just short of the period in question — criminal arrests end at 2024, imprisonment at 2023. A reader asking whether the enforcement of 2025 and 2026 shows up in the prison population cannot be answered from federal statistics, and the honest response is that the record is not there yet rather than that nothing happened.",US,"BJS's most recent Prisoners release covers 2023 and was published in September 2025. 'Prisoners in 2024 – Statistical Tables' is listed on BJS's forthcoming page for Q3 2026 and does not exist as of 22 August 2026; the direct URL returns 404. There is no preliminary prisons release for 2024 either, though BJS did publish one for jails.",inc_bjs_forthcoming,A,The prison series ends before the years it is asked about
cq17,"The widest line on the incarceration chart is broken after 2021 for this reason. Read as a continuous series it would show correctional control falling and then recovering; in truth part of the recovery is 120,000 people who were always there and are now counted, and part of the earlier fall is a state that stopped reporting.",US,"Three separate problems land in the same two years. BJS states that 2022 and 2023 cannot be compared with earlier years for the total correctional population, community supervision or probation. The 2023 Annual Probation Survey added 285 agencies supervising misdemeanour probation only, about 120,000 people. And California's post-release community supervision counts have not been updated since 2018, which drives much of the parole fall from 878,700 (2019) to 680,400 (2023).",inc_bjs_cpus23,A,BJS declares its own 2022 and 2023 correctional totals non-comparable
cq18,"'Is the prison system overcrowded' cannot be answered from current federal data at all, and where it could be answered the answer depended on which capacity measure was chosen — Alabama was simultaneously at 175.7% of design capacity and 90.7% of operational capacity in 2016.",US,"Table 16 of Prisoners in 2016 is the last national prison capacity table BJS published. Prisoners in 2019 and every edition since contain none. Where it did exist it was ambiguous by construction: states report design, rated and operational capacity, many report only some, and BJS published population against both the lowest and the highest reported measure.",inc_bjs_p16,A,Prison capacity stopped being published in 2016
cq19,"Any bar chart built from that page silently compares 2018 with 2026. This section therefore publishes the figures as a dated table where every row carries its own date, and no international incarceration chart — the same decision already taken for drug deaths and missing persons.",International,"The World Prison Brief's rate ranking presents countries in a single ordered list with no reference-date column. Retrieved individually, the dates run from 31 December 2018 (China) to 3 August 2026 (Turkey). Cuba is ranked second in the world on a January 2020 figure and Turkmenistan third on a 2021 estimate. WPB's own World Prison Population List states that the information does not relate to the same date.",inc_wppl,A,The world incarceration ranking mixes eight years of reference dates
cq20,"Anonymity is often treated as the fix for stigma on sensitive questions. These three instruments are all anonymous or self-administered and they disagree, so anonymity is not sufficient on its own — sampling, recruitment and question wording still dominate. Any single 'anonymous index' cited as the true picture should be read against this.",US,"Three anonymous or self-administered instruments measured young Americans over the same years and moved in three directions. Adolescent major depressive episode in NSDUH, answered to a machine, fell from 20.8% (2021) to 15.4% (2024). Persistent sadness or hopelessness in the Youth Risk Behavior Survey, anonymous and in-school, sat at 40–42%. Frequent suicidal ideation among young people using Mental Health America's anonymous online screening rose from 48% to 51%.",an_yrbs_trend,A,Removing the interviewer does not produce agreement
cq21,"This is the clearest case on the site of a curve that measures an institution rather than the world. It is drawn because it is the only official count of anomalous reports that exists — and it is labelled as intake, with the publisher's own explanation attached, rather than presented as a rate.",International,"The federal UAP office's report counts rose from 247 to 757 and then fell to 319. Its own publications attribute the rise to reporting rather than to phenomena: ODNI records it as 'partially due to reduced stigma surrounding UAP reporting', and AARO records that the FAA began forwarding reports weekly, which it calls 'a significant increase from the previous reporting period'. The reporting periods are also 18, 8, 13 and 12 months long, and each count mixes in-period events with back-reports of older ones.",an_odni_2022,A,A rise in reports is not a rise in events
