geography,indicator_id,note,publisher,source_id,tier,unit,value,workstream,year
US,cdc_homicide_count,"'Number of deaths: 20,162' for 2024, National Vital Statistics System via CDC WONDER.","NCHS / CDC (FastStats, via CDC WONDER)",cs026,A,deaths,20162,W1,2024
US,cdc_homicide_crude_rate,"CRUDE rate, not age-adjusted. Different unit from every other cdc_homicide_rate_aa row.","NCHS / CDC (FastStats, via CDC WONDER)",cs026,A,"per 100,000, CRUDE",5.9,W1,2024
US,cdc_homicide_pct_increase_2019_2020,"CDC rate 6.0 (2019) to 7.8 (2020). The underlying 6.0 and 7.8 are BOTH tier A from db526; only the '30%' rounding is tier B. Useful counterpoint: two agencies, ~29-30% increase, but from different levels and on different denominators.","Pew Research Center, citing CDC/NCHS",cs037,B,percent increase in age-adjusted rate,30,W1,2020
US,cdc_homicide_rate_aa,"Selected years only. Confirmed by Health, United States 2020-2021 SlctMort table.","NCHS / CDC (Health, United States, Table 29)",cs023,A,"per 100,000, age-adjusted",5.1,W1,1950
US,cdc_homicide_rate_aa,"Confirmed twice. NOTE: FBI UCR rate for 1960 is 5.1 - nearly identical, unlike later years.","NCHS / CDC (Health, United States, Table 29)",cs023,A,"per 100,000, age-adjusted",5.0,W1,1960
US,cdc_homicide_rate_aa,FBI UCR 1970 = 7.9. Gap of 0.9.,"NCHS / CDC (Health, United States, Table 29)",cs023,A,"per 100,000, age-adjusted",8.8,W1,1970
US,cdc_homicide_rate_aa,Highest CDC value in the fetched series. FBI UCR 1980 = 10.2.,"NCHS / CDC (Health, United States, Table 29)",cs023,A,"per 100,000, age-adjusted",10.4,W1,1980
US,cdc_homicide_rate_aa,FBI UCR 1990 = 9.4. Coincidentally identical.,"NCHS / CDC (Health, United States, Table 29)",cs023,A,"per 100,000, age-adjusted",9.4,W1,1990
US,cdc_homicide_rate_aa,FBI UCR 2000 = 5.5. Gap of 0.4.,"NCHS / CDC (Health, United States, Table 29)",cs023,A,"per 100,000, age-adjusted",5.9,W1,2000
US,cdc_homicide_rate_aa,Start of the continuous annual NCHS series I could verify. Confirmed in brief text: 'declined 16% from 2003 (6.1) to 2014'.,NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",6.1,W1,2003
US,cdc_homicide_rate_aa,,NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",5.9,W1,2004
US,cdc_homicide_rate_aa,"Health, United States 2020-2021 SlctMort gives 6.1 for 2005. Confirmed twice.",NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",6.1,W1,2005
US,cdc_homicide_rate_aa,,NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",6.2,W1,2006
US,cdc_homicide_rate_aa,,NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",6.1,W1,2007
US,cdc_homicide_rate_aa,,NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",5.9,W1,2008
US,cdc_homicide_rate_aa,"Health, United States 2020-2021 SlctMort gives 5.5 for 2009. Confirmed twice.",NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",5.5,W1,2009
US,cdc_homicide_rate_aa,"Health, United States Table 29 gives 5.3 for 2010. Confirmed twice. FBI UCR 2010 = 4.8 - a 0.5 gap.",NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",5.3,W1,2010
US,cdc_homicide_rate_aa,,NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",5.3,W1,2011
US,cdc_homicide_rate_aa,,NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",5.4,W1,2012
US,cdc_homicide_rate_aa,,NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",5.2,W1,2013
US,cdc_homicide_rate_aa,Series low. Confirmed in brief text ('2014 (5.1)'). FBI UCR 2014 = 4.4 - a 0.7 gap.,NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",5.1,W1,2014
US,cdc_homicide_rate_aa,"Health, United States Table 29 gives 5.7 for 2015. Confirmed twice.",NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",5.7,W1,2015
US,cdc_homicide_rate_aa,"Health, United States Table 29 gives 6.2 for 2016. Confirmed twice.",NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",6.2,W1,2016
US,cdc_homicide_rate_aa,,NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",6.2,W1,2017
US,cdc_homicide_rate_aa,"Health, United States 2020-2021 SlctMort gives 5.9 for 2018. Confirmed twice.",NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",5.9,W1,2018
US,cdc_homicide_rate_aa,"Confirmed three ways: db526 table, db526 text ('2019 (6.0)'), and Health, United States 2020-2021 SlctMort. FBI UCR 2019 = 5.0 - a FULL POINT apart.",NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",6.0,W1,2019
US,cdc_homicide_rate_aa,"Corroborated by Pew citing CDC (7.8 in 2020, up from 6.0).",NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",7.8,W1,2020
US,cdc_homicide_rate_aa,SERIES PEAK. Confirmed independently by NVSR 'Deaths: Final Data for 2022' (Vol 74 No 4): 'from 8.2 in 2021'. FBI UCR 2021 = 6.5 - a 1.7 gap.,NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",8.2,W1,2021
US,cdc_homicide_rate_aa,"Confirmed independently by NVSR Vol 74 No 4: 'decreased 6.1%, from 8.2 in 2021 to 7.7 per 100,000 standard population in 2022.'",NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",7.7,W1,2022
US,cdc_homicide_rate_aa,Confirmed in db526 text: 'The rate then declined 13% through 2023 (7.1).' FBI UCR 2023 = 6.0.,NCHS / CDC (NCHS Data Brief 526),cs022,A,"per 100,000, age-adjusted",7.1,W1,2023
US,fbi_murder_count,"BJS Homicide Trends in the US, UCR-based series. Overlap years 1991-2000 match FBI CIUS exactly, validating the extraction.",Bureau of Justice Statistics,cs001,A,offenses,9110,W1,1960
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,8740,W1,1961
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,8530,W1,1962
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,8640,W1,1963
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,9360,W1,1964
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,9960,W1,1965
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,11040,W1,1966
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,12240,W1,1967
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,13800,W1,1968
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,14760,W1,1969
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,16000,W1,1970
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,17780,W1,1971
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,18670,W1,1972
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,19640,W1,1973
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,20710,W1,1974
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,20510,W1,1975
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,18780,W1,1976
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,19120,W1,1977
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,19560,W1,1978
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,21460,W1,1979
US,fbi_murder_count,Peak count of the 1980 cycle.,Bureau of Justice Statistics,cs001,A,offenses,23040,W1,1980
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,22520,W1,1981
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,21010,W1,1982
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,19308,W1,1983
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,18692,W1,1984
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,18976,W1,1985
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,20613,W1,1986
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,20096,W1,1987
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,20675,W1,1988
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,21500,W1,1989
US,fbi_murder_count,,Bureau of Justice Statistics,cs001,A,offenses,23438,W1,1990
US,fbi_murder_count,HIGHEST COUNT in the fetched series. Independently confirmed by BJS htius.pdf.,"FBI (UCR, Crime in the United States 2010, Table 1)",cs015,A,offenses,24703,W1,1991
US,fbi_murder_count,Confirmed by BJS.,"FBI (UCR, CIUS 2010, Table 1)",cs015,A,offenses,23760,W1,1992
US,fbi_murder_count,Confirmed by BJS.,"FBI (UCR, CIUS 2010, Table 1)",cs015,A,offenses,24526,W1,1993
US,fbi_murder_count,Confirmed by BJS.,"FBI (UCR, CIUS 2010, Table 1)",cs015,A,offenses,23326,W1,1994
US,fbi_murder_count,Confirmed by BJS.,"FBI (UCR, CIUS 2010, Table 1)",cs015,A,offenses,21606,W1,1995
US,fbi_murder_count,Confirmed by BJS.,"FBI (UCR, CIUS 2010, Table 1)",cs015,A,offenses,19645,W1,1996
US,fbi_murder_count,Confirmed by BJS.,"FBI (UCR, CIUS 2010, Table 1)",cs015,A,offenses,18208,W1,1997
US,fbi_murder_count,Confirmed by BJS and by CIUS 1999 (99sec2.pdf).,"FBI (UCR, CIUS 2010, Table 1)",cs015,A,offenses,16974,W1,1998
US,fbi_murder_count,"CIUS 1999 as first published gave 15,533; revised to 15,522. VINTAGE CONFLICT.","FBI (UCR, CIUS 2010, Table 1)",cs015,A,offenses,15522,W1,1999
US,fbi_murder_count,Confirmed by CIUS 2010 and BJS.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,15586,W1,2000
US,fbi_murder_count,"UCR Table 1 excludes the 2,823 deaths of 9/11 from the murder count; the FBI publishes those separately. Verify the footnote before broadcasting this figure.","FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,16037,W1,2001
US,fbi_murder_count,Confirmed by CIUS 2010 and BJS.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,16229,W1,2002
US,fbi_murder_count,"BJS htius lists 16,582 for 2003 (earlier vintage). VINTAGE CONFLICT.","FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,16528,W1,2003
US,fbi_murder_count,"BJS htius lists 16,137. VINTAGE CONFLICT.","FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,16148,W1,2004
US,fbi_murder_count,"BJS htius lists 16,692. VINTAGE CONFLICT.","FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,16740,W1,2005
US,fbi_murder_count,Confirmed by CIUS 2010.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,17309,W1,2006
US,fbi_murder_count,Confirmed by CIUS 2010.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,17128,W1,2007
US,fbi_murder_count,Confirmed by CIUS 2010.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,16465,W1,2008
US,fbi_murder_count,Confirmed by CIUS 2010.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,15399,W1,2009
US,fbi_murder_count,"CIUS 2010 as first published gave 14,748. VINTAGE CONFLICT - a clean example for the documentary.","FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,14722,W1,2010
US,fbi_murder_count,,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,14661,W1,2011
US,fbi_murder_count,,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,14856,W1,2012
US,fbi_murder_count,,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,14319,W1,2013
US,fbi_murder_count,Lowest count in the modern series.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,14164,W1,2014
US,fbi_murder_count,,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,15883,W1,2015
US,fbi_murder_count,,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,17413,W1,2016
US,fbi_murder_count,,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,17294,W1,2017
US,fbi_murder_count,,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,16374,W1,2018
US,fbi_murder_count,"AS FIRST PUBLISHED. Revised to 16,669 in CIUS 2020 - which is the base the FBI's 29.4% figure uses. Do not use 16,425 with the 29.4%.","FBI (UCR, CIUS 2019, Table 1)",cs017,A,offenses,16425,W1,2019
US,fbi_murder_count,"SRS/traditional-estimation vintage. Tier B: could not fetch the FBI table directly. Note the FBI's own NIBRS-based estimate for the same year is 22,000 - see fbi_murder_count_nibrs.","Pew Research Center, citing FBI CIUS 2020",cs037,B,offenses,21570,W1,2020
US,fbi_murder_count,"FBI: 'In 2024, the estimated number of murders in the nation was 16,935.' Down 14.9% vs 2023, down 23.0% vs 2020, up 6.8% vs 2015.","FBI (Crime Data Explorer, Reported Crimes in the Nation Quick Stats)",cs004,A,offenses,16935,W1,2024
US,fbi_murder_count,"FLAGGED. The FBI's own 2025 press release and CDE 2025 summary PDF give the RATE (4.1) but NOT the count. 14,085 is a secondary citation of FBI data. Tier B until confirmed against an FBI table. Expect upward revision - Asher notes 2023 was revised up 655 and 2022 up 620.","Jeff Asher (Jeff-alytics), citing FBI 2025 Crime in the United States",cs008,B,offenses,14085,W1,2025
US,fbi_murder_count_nibrs,"FBI's NIBRS-based estimate for 2020, published Oct 2022. Differs from the 21,570 SRS estimate for the SAME YEAR by ~430. Two official FBI numbers for one year.",FBI,cs030,A,offenses,22000,W1,2020
US,fbi_murder_count_nibrs,"FBI: 'the estimated number of murders increased 4.3% (from 22,000 in 2020 to 22,900 in 2021).' FBI adds this trend is 'not considered statistically significant by NIBRS estimation methods.'",FBI,cs030,A,offenses,22900,W1,2021
US,fbi_murder_count_revised,"REVISED 2019 figure. Could not fetch FBI CIUS 2020 Table 1 directly (CDE is a JS app; FBI API rate-limited). Tier B pending direct FBI confirmation. 21570/16669 = 1.294, consistent with the FBI's stated 29.4%.","Pew Research Center, citing FBI CIUS 2020",cs037,B,offenses,16669,W1,2019
US,fbi_murder_pct_change,'Murder and nonnegligent manslaughter offenses decreased an estimated 18.1%.' The RATE fell 18.5% (CDE 2025 summary). Both figures verified - use the right one.,FBI,cs033,A,percent change vs prior year (volume),-18.1,W1,2025
US,fbi_murder_rate,Same source as count.,Bureau of Justice Statistics,cs001,A,"per 100,000",5.1,W1,1960
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",4.8,W1,1961
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",4.6,W1,1962
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",4.6,W1,1963
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",4.9,W1,1964
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",5.1,W1,1965
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",5.6,W1,1966
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",6.2,W1,1967
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",6.9,W1,1968
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",7.3,W1,1969
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",7.9,W1,1970
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",8.6,W1,1971
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",9.0,W1,1972
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",9.4,W1,1973
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",9.8,W1,1974
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",9.6,W1,1975
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",8.8,W1,1976
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",8.8,W1,1977
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",9.0,W1,1978
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",9.7,W1,1979
US,fbi_murder_rate,Highest rate in the entire fetched UCR series.,Bureau of Justice Statistics,cs001,A,"per 100,000",10.2,W1,1980
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",9.8,W1,1981
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",9.1,W1,1982
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",8.3,W1,1983
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",7.9,W1,1984
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",7.9,W1,1985
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",8.6,W1,1986
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",8.3,W1,1987
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",8.4,W1,1988
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",8.7,W1,1989
US,fbi_murder_rate,,Bureau of Justice Statistics,cs001,A,"per 100,000",9.4,W1,1990
US,fbi_murder_rate,Confirmed by BJS htius.pdf.,"FBI (UCR, Crime in the United States 2010, Table 1)",cs015,A,"per 100,000",9.8,W1,1991
US,fbi_murder_rate,Confirmed by BJS.,"FBI (UCR, CIUS 2010, Table 1)",cs015,A,"per 100,000",9.3,W1,1992
US,fbi_murder_rate,Confirmed by BJS.,"FBI (UCR, CIUS 2010, Table 1)",cs015,A,"per 100,000",9.5,W1,1993
US,fbi_murder_rate,Confirmed by BJS.,"FBI (UCR, CIUS 2010, Table 1)",cs015,A,"per 100,000",9.0,W1,1994
US,fbi_murder_rate,Confirmed by BJS.,"FBI (UCR, CIUS 2010, Table 1)",cs015,A,"per 100,000",8.2,W1,1995
US,fbi_murder_rate,Confirmed by BJS.,"FBI (UCR, CIUS 2010, Table 1)",cs015,A,"per 100,000",7.4,W1,1996
US,fbi_murder_rate,Confirmed by BJS.,"FBI (UCR, CIUS 2010, Table 1)",cs015,A,"per 100,000",6.8,W1,1997
US,fbi_murder_rate,Confirmed by CIUS 1999.,"FBI (UCR, CIUS 2010, Table 1)",cs015,A,"per 100,000",6.3,W1,1998
US,fbi_murder_rate,Confirmed by CIUS 1999.,"FBI (UCR, CIUS 2010, Table 1)",cs015,A,"per 100,000",5.7,W1,1999
US,fbi_murder_rate,Confirmed by CIUS 2010 and BJS.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",5.5,W1,2000
US,fbi_murder_rate,See 9/11 footnote caveat above.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",5.6,W1,2001
US,fbi_murder_rate,,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",5.6,W1,2002
US,fbi_murder_rate,,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",5.7,W1,2003
US,fbi_murder_rate,,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",5.5,W1,2004
US,fbi_murder_rate,FBI CDE 2024 summary shows 5.9 for 2005 in its 20-year trend chart. VINTAGE CONFLICT.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",5.6,W1,2005
US,fbi_murder_rate,FBI CDE 2025 summary Figure 1 shows 5.7 for 2006. VINTAGE CONFLICT.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",5.8,W1,2006
US,fbi_murder_rate,Confirmed by CIUS 2010 and CDE 2025 Figure 1.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",5.7,W1,2007
US,fbi_murder_rate,Confirmed by CIUS 2010 and CDE 2025 Figure 1.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",5.4,W1,2008
US,fbi_murder_rate,Confirmed by CIUS 2010 and CDE 2025 Figure 1.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",5.0,W1,2009
US,fbi_murder_rate,Confirmed by CIUS 2010 and CDE 2025 Figure 1.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",4.8,W1,2010
US,fbi_murder_rate,Confirmed by CDE 2025 Figure 1.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",4.7,W1,2011
US,fbi_murder_rate,CDE 2025 Figure 1 shows 4.8. VINTAGE CONFLICT.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",4.7,W1,2012
US,fbi_murder_rate,Confirmed by CDE 2025 Figure 1.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",4.5,W1,2013
US,fbi_murder_rate,Confirmed by CDE 2024 summary (20-year low) and CDE 2025 Figure 1.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",4.4,W1,2014
US,fbi_murder_rate,Confirmed by CDE 2025 Figure 1.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",4.9,W1,2015
US,fbi_murder_rate,Confirmed by CDE 2025 Figure 1.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",5.4,W1,2016
US,fbi_murder_rate,Confirmed by CDE 2025 Figure 1.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",5.3,W1,2017
US,fbi_murder_rate,Confirmed by CDE 2025 Figure 1.,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",5.0,W1,2018
US,fbi_murder_rate,Confirmed by CDE 2025 Figure 1 (also 5.0).,"FBI (UCR, CIUS 2019, Table 1)",cs017,A,"per 100,000",5.0,W1,2019
US,fbi_murder_rate,"CURRENT vintage; stated in report text ('2020 and 2022 peaked at 6.6'). The FBI's 2024 summary gave 6.7 for 2020, and CIUS 2020 as first published gave 6.5. THREE OFFICIAL VALUES FOR ONE YEAR.","FBI (Crime Data Explorer, UCR Summary of Reported Crimes in the Nation, 2025)",cs006,A,"per 100,000",6.6,W1,2020
US,fbi_murder_rate,"Tier B: read off Figure 1 chart, not confirmed in report text or a second source. Also the weakest data year - see nibrs_* rows.","FBI (Crime Data Explorer, UCR Summary 2025, Figure 1)",cs006,B,"per 100,000",6.5,W1,2021
US,fbi_murder_rate,"Stated in report text: '2020 and 2022 peaked at 6.6 offenses per 100,000 inhabitants.'","FBI (Crime Data Explorer, UCR Summary 2025)",cs006,A,"per 100,000",6.6,W1,2022
US,fbi_murder_rate,"Tier B: chart read. Corroborated indirectly - CDE Quick Stats says the 2024 rate of 5.0 was 'down 15.8%' from 2023, implying ~5.94. Note Jeff Asher reported 5.7 for 2023 as first published. VINTAGE CONFLICT.","FBI (Crime Data Explorer, UCR Summary 2025, Figure 1)",cs006,B,"per 100,000",6.0,W1,2023
US,fbi_murder_rate,AS FIRST PUBLISHED (Aug 2025). Revised to 5.1 in the 2025 report cycle - see fbi_murder_rate_revised 2024.,"FBI (Crime Data Explorer, Quick Stats + UCR Summary 2024)",cs004,A,"per 100,000",5.0,W1,2024
US,fbi_murder_rate,"FBI, released 2026-08-14: 'The 2025 murder rate of 4.1 per 100,000 inhabitants is tied with 1955 and 1956 for the lowest murder rate.' Confirmed in the CDE 2025 summary PDF.",FBI,cs033,A,"per 100,000",4.1,W1,2025
US,fbi_murder_rate_revised,"REVISED. Independently corroborated by FactCheck.org ('dropped from 5.1 per 100,000 to 4.1'). The FBI's headline '-18.5% rate' uses 5.1 as the base, not 5.0.","FBI (Crime Data Explorer, UCR Summary 2025, Figure 1)",cs006,A,"per 100,000",5.1,W1,2024
US,homicide_clearance_rate,"SERIES PEAK. 'In 1962, the FBI reported a national homicide clearance rate of 93%.' Confirmed from the Annual Reviews abstract page as well.","Cook & Mancik, Annual Review of Criminology (peer-reviewed), citing FBI UCR",cs012,A,percent cleared,93,W1,1962
US,homicide_clearance_rate,"'About 90 percent' - approximate, secondary. Prefer the 1962 = 93% tier A figure for the documentary's opening anchor.","Murder Accountability Project, citing FBI UCR",cs035,B,percent cleared,90,W1,1965
US,homicide_clearance_rate,'A near-linear decline through 1994 took the rate down to 64%.' The authors call 1962-1994 the 'Great Decline' - 29 points.,"Cook & Mancik, Annual Review of Criminology",cs012,A,percent cleared,64,W1,1994
US,homicide_clearance_rate,'64.8 percent of murder offenses were cleared.' Cleared by arrest OR exceptional means.,"FBI (UCR, Crime in the United States 2010)",cs014,A,percent cleared,64.8,W1,2010
US,homicide_clearance_rate,Secondary. Could be upgraded to A via FBI CIUS 2018 clearances page.,"Murder Accountability Project, citing FBI CJIS",cs035,B,percent cleared,62,W1,2018
US,homicide_clearance_rate,'61.4 percent of murder offenses ... were cleared.' Cook & Mancik round this to 61%. Context: 45.5% of all violent crime and 17.2% of property crime cleared that year.,"FBI (UCR, Crime in the United States 2019)",cs016,A,percent cleared,61.4,W1,2019
